id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
716549,3,6,"Week day lunch,At a party,Late night snack",5,Cloudy with a Chance of Meatballs,Coke ,Friends,A little (mild),Pizza
727333,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10dollar,action movie,cola,Friends,A moderate amount (medium),Pizza
606874,4,6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Mamma Mia,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
605771,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,,Soda,"Siblings,Friends",,Pizza
606929,3,about 3 or 4,Week day lunch,1,dragon,coke ,Friends,,Pizza
609789,4,4-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollar,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza
626792,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Cloudy with a chance of meatballs,Coke,"Parents,Siblings,Friends",A lot (hot),Pizza
714863,3,10,"Weekend dinner,At a party",20,none,regular coke,Friends,,Pizza
602805,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 Canadian Dollars,The Big Lebowski,Ice Tea,"Parents,Friends",A little (mild),Pizza
602526,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider Man 2,lemonade,"Parents,Siblings,Friends",,Pizza
289931,3,"5: Cheese, sauce, dough, meet, vegetables","Weekend lunch,Weekend dinner,At a party,Late night snack","One serving being two slices, I would expect to pay around $7",A Goofy Movie (the disney movie),Pop like Coke ,Friends,A little (mild),Pizza
516975,2,"21 (6 for the dough, 15 for the toppings)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$2 - $3

 ",Harry Potter & The Philosopher's Stone,Coke,Friends,,Pizza
492744,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,"Parents,Friends",A little (mild),Pizza
618747,2,"Bread flour (or pizza dough), Olive oil, Sugar, Tomato, Chess, Pepperoni","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25.",Toy Story,"Soft drinks. For example, 7up",Friends,,Pizza
607815,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30 CAD,The Godfather,Coke,"Friends,Teachers",A little (mild),Pizza
602657,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Pizza,cola,"Friends,Teachers",,Pizza
616449,4,Three,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5 ,Teenage Mutant Ninja Turtles,Sparkling Water,"Parents,Friends",A little (mild),Pizza
501893,4,"5: Flour, tomatoes, cheese, meat and basil leaves","Weekend lunch,Weekend dinner,At a party",CAD20-25,Fast & Furious,Coke,"Siblings,Friends",,Pizza
507448,3,"Mushrooms, meat, cheese, potato, pepper","Weekend dinner,At a party,Late night snack",20,Teenage Mutant Ninja Turtles,Coke,Friends,A little (mild),Pizza
606556,1,3,At a party,8 dollars,The Garfield Movie,Cola,Teachers,A little (mild),Pizza
724326,3,"10-12 (Flour, water, yeast, salt, olive oil for the dough, tomato sauce, cheese, pepperoni, veggies and herbs)","Week day lunch,Weekend lunch,At a party",Around $3 for one slice ,"""Spider-Man: No Way Home""",Coca-Cola and iced tea,Friends,,Pizza
616945,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,ratatouille,coca cola,Teachers,A moderate amount (medium),Pizza
502799,2,8,"Weekend dinner,At a party",$10 ,Back to the future,Ice tea,"Parents,Siblings,Friends",,Pizza
388888,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Mystic Pizza,Coke,Friends,A little (mild),Pizza
519548,3,~5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider man 2,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
607410,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",About $13.,Iron Man I,Orange Fanta,"Siblings,Teachers",,Pizza
715795,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13 ,Life of Pi,Hot chocolate,"Parents,Friends,Teachers",,Pizza
625326,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Avengers,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,3,3 to 7,"Week day lunch,Weekend dinner,At a party,Late night snack",6 to 7 dollars,Despicable Me,Mountain Dew,Friends,A little (mild),Pizza
634964,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Spider-man,Beer,"Parents,Friends",,Pizza
602824,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 dollars,Any American movie,Soda,"Parents,Siblings,Friends",,Pizza
618355,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,king kong,coke,"Friends,Teachers,Strangers",,Pizza
611097,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza
607160,2,10,At a party,"$15 for a whole pizza

$3 for a slice",cloudy with a chance of meatballs,diet coke,Teachers,A little (mild),Pizza
728522,3,6,"Week day dinner,Weekend dinner,At a party,Late night snack",12,Marvel Movies,Diet Pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
714598,4,5,"Week day dinner,At a party,Late night snack",4.5 cad,The Garfield Movie,Coca-cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,3,4,"Week day lunch,At a party,Late night snack",3 per slide,Garfield,Coke,Friends,,Pizza
612478,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Grown ups,Diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,4,Around 6-9 excluding condiments.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around $7~15 before tax.,N/A (I don't watch a lot of movies),Carbonated soft drink,"Teachers,Strangers",A little (mild),Pizza
629710,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 ,deadpool,coke,"Parents,Siblings,Friends",A little (mild),Pizza
502610,2,"There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 30-40 $,Cloudy with a chance of meatball,Coca cola zero,"Parents,Siblings,Friends",,Pizza
603476,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,whiplash,coke,"Parents,Siblings,Friends",,Pizza
600957,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Home alone,Water,Siblings,,Pizza
713423,5,"Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me).","Week day dinner,Weekend dinner,At a party",CA$15,Inside Out,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,"Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings). ","Week day lunch,Week day dinner,Weekend lunch,At a party","Maybe 20$, for 14'' or 16''.",Teenage Mutant Ninja Turtles.,"Orange juice, my favourite.",Friends,,Pizza
148179,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,,Cola,Friends,A little (mild),Pizza
715845,2,9,"Weekend dinner,At a party,Late night snack",$20 ,Cloudy with a Chance of Meatballs,Coke,Friends,,Pizza
632153,3,"Around 10 or so, depending on the flavour","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",At most $6,Ratatouille,Sparkling water,Friends,,Pizza
606552,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice? Like 5 dollars.

For a whole pizza? 15 dollars",Superbad,Coca Cola,"Parents,Siblings,Friends",A little (mild),Pizza
738409,3,4,At a party,3,stranger things,pepsi,"Teachers,Strangers",,Pizza
612096,4,6,"Weekend dinner,At a party",4.99,Ratatouille,Sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,3,5,"Week day lunch,Week day dinner,At a party,Late night snack",15 dollars,Pizza (2012),Coke,"Friends,Strangers",,Pizza
632896,3,"I expect this food item to contain 10 ingredients.

 ","Weekend lunch,At a party,Late night snack",I would expect to pay 7 dollars for 1 serving. ,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza
617542,4,"Varies depending on personal choice. Basic/Main ingredients can be around 3. Additional ingredients can be added, usually around 2-5. ","Week day dinner,Weekend dinner,At a party,Late night snack",Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6.,Ninja Turtles,Coke,Friends,A little (mild),Pizza
719554,3,3,"Week day lunch,Late night snack",$5 ,,Juice,"Friends,Strangers",,Pizza
627427,4,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",$5.00 ,Air Bud,Soda,"Friends,Strangers",A little (mild),Pizza
411315,4,7,"Week day lunch,At a party,Late night snack",6,Deadpool,coke,"Friends,Strangers",A little (mild),Pizza
631507,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,A quiet place: day one (2024),Soda,Friends,I will have some of this food item with my hot sauce,Pizza
627798,3,8,"Week day lunch,Weekend lunch,At a party,Late night snack",$6 ,Finding Nemo,Coca Cola,Friends,A little (mild),Pizza
712093,4,10,"Week day lunch,Weekend lunch,At a party,Late night snack",15$,Avengers Endgame,Coca Cola,"Teachers,Strangers",A little (mild),Pizza
627488,1,"yeast water flour egg salt (dough), cheese peporonni sausage other vegetables 

total: 10","Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Friends,Teachers",A little (mild),Pizza
626493,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,My Cousin Vinny,San Pellegrino Sparkling Water,"Parents,Siblings,Friends,Teachers",,Pizza
601363,2,"6-8 a simple pizza, can have many more ","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$12-$18,Garfield,A Ginger Ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,4,8,"Weekend dinner,At a party,Late night snack",5,Garfield,Diet Coke,Parents,,Pizza
603398,3,10,"Weekend dinner,At a party,Late night snack",20 - 25 CAD,"Eat, Pray, Love",Coca-Cola,Friends,A moderate amount (medium),Pizza
631012,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Ratatouille,Coke,"Parents,Siblings,Friends",,Pizza
612131,2,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$2 ,Home Alone,Coca-cola,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,3,5,"Week day lunch,Weekend lunch,At a party,Late night snack",5 dollars,Five Nights at Freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15$ per pizza,No movie,A can of soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602871,2,5,"Week day lunch,At a party",10 cad,Spider-Man 2,Coke,Friends,A little (mild),Pizza
514199,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,,Nestea,Friends,,Pizza
714430,3,10,"Week day lunch,Weekend lunch",10 dollars,iron man,orange juice,Friends,A little (mild),Pizza
612567,4,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$20 ,Star Wars,Coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
502722,3,Around 6 ingredients in a basic cheese pizza recipe,"Weekend lunch,At a party",Around $2-4 for a slice of pizza is reasonable.,Any teenage mutant ninja turtle movie,Soft cola or lemon drink,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Dark Knight,Diet Coke,Friends,,Pizza
